"role","skill","demand_count","avg_yearly_salary"
"Business Analyst","sql","254","94934"
"Business Analyst","python","109","103194"
"Business Analyst","nosql","9","121295"
"Business Analyst","scala","5","101236"
"Business Analyst","java","9","92181"
"Business Analyst","r","57","107081"
"Business Analyst","shell","5","87628"
"Business Analyst","sas","28","103164"
"Business Analyst","go","28","110499"
"Business Analyst","javascript","9","77617"
"Business Analyst","html","3","74852"
"Business Analyst","css","2","71250"
"Business Analyst","c++","5","111176"
"Business Analyst","c#","2","104575"
"Business Analyst","matlab","1","120000"
"Business Analyst","t-sql","4","91400"
"Business Analyst","mongodb","2","118000"
"Business Analyst","vba","11","86530"
"Business Analyst","crystal","3","93000"
"Business Analyst","php","1","136100"
"Business Analyst","c","7","123329"
"Business Analyst","julia","1","136100"
"Business Analyst","ruby","1","150000"
"Business Analyst","perl","1","79200"
"Business Analyst","assembly","1","89100"
"Business Analyst","swift","4","103374"
"Business Analyst","delphi","1","98496"
"Business Analyst","redis","1","90000"
"Business Analyst","mysql","11","96449"
"Business Analyst","postgresql","3","55700"
"Business Analyst","sql server","27","89612"
"Business Analyst","mongodb","2","118000"
"Business Analyst","cassandra","2","108488"
"Business Analyst","db2","5","104585"
"Business Analyst","azure","20","104145"
"Business Analyst","databricks","3","94400"
"Business Analyst","aws","24","106038"
"Business Analyst","bigquery","11","90523"
"Business Analyst","redshift","13","95533"
"Business Analyst","oracle","30","92739"
"Business Analyst","snowflake","31","113611"
"Business Analyst","gcp","8","94366"
"Business Analyst","spark","11","112781"
"Business Analyst","pandas","3","110558"
"Business Analyst","numpy","1","157500"
"Business Analyst","pyspark","1","105300"
"Business Analyst","airflow","6","135410"
"Business Analyst","hadoop","11","149349"
"Business Analyst","kafka","4","100660"
"Business Analyst","tensorflow","2","125500"
"Business Analyst","pytorch","2","125500"
"Business Analyst","jupyter","1","50400"
"Business Analyst","spring","4","86500"
"Business Analyst","gdpr","4","82650"
"Business Analyst","scikit-learn","1","120000"
"Business Analyst","matplotlib","1","120000"
"Business Analyst","flutter","1","43200"
"Business Analyst","seaborn","1","120000"
"Business Analyst","opencv","1","89100"
"Business Analyst","electron","1","131000"
"Business Analyst","selenium","1","90000"
"Business Analyst","phoenix","14","135142"
"Business Analyst","express","4","90825"
"Business Analyst","ruby","1","150000"
"Business Analyst","jquery","1","156000"
"Business Analyst","unix","4","100335"
"Business Analyst","linux","4","78700"
"Business Analyst","windows","6","80433"
"Business Analyst","centos","1","30000"
"Business Analyst","excel","182","85590"
"Business Analyst","tableau","172","98297"
"Business Analyst","power bi","121","91637"
"Business Analyst","dax","13","98062"
"Business Analyst","looker","20","105626"
"Business Analyst","sas","28","103164"
"Business Analyst","qlik","13","74880"
"Business Analyst","word","45","85907"
"Business Analyst","sap","30","86336"
"Business Analyst","spreadsheet","8","90878"
"Business Analyst","microstrategy","10","98189"
"Business Analyst","sheets","5","97820"
"Business Analyst","splunk","1","99150"
"Business Analyst","ssis","17","92889"
"Business Analyst","sharepoint","7","93736"
"Business Analyst","powerpoint","65","87307"
"Business Analyst","ssrs","21","90349"
"Business Analyst","outlook","17","79970"
"Business Analyst","spss","5","96663"
"Business Analyst","cognos","2","74120"
"Business Analyst","alteryx","16","95497"
"Business Analyst","ms access","3","99995"
"Business Analyst","visio","15","86810"
"Business Analyst","git","4","83370"
"Business Analyst","jenkins","2","76950"
"Business Analyst","terraform","1","30000"
"Business Analyst","docker","2","68550"
"Business Analyst","flow","43","95082"
"Business Analyst","github","3","69000"
"Business Analyst","bitbucket","2","92475"
"Business Analyst","atlassian","2","81000"
"Business Analyst","gitlab","2","86550"
"Business Analyst","ansible","1","89100"
"Business Analyst","svn","1","93171"
"Business Analyst","unity","1","81000"
"Business Analyst","terminal","1","87400"
"Business Analyst","jira","12","80730"
"Business Analyst","confluence","3","79167"
"Business Analyst","planner","1","47500"
"Business Analyst","smartsheet","1","79200"
"Business Analyst","trello","1","57500"
"Business Analyst","monday.com","1","70000"
"Business Analyst","slack","2","100500"
"Business Analyst","zoom","1","75000"
"Business Analyst","unify","1","79200"
"Business Analyst","wire","3","95833"
"Data Analyst","sql","2515","96802"
"Data Analyst","python","1501","102023"
"Data Analyst","nosql","90","107724"
"Data Analyst","scala","46","112941"
"Data Analyst","java","109","100463"
"Data Analyst","r","866","98676"
"Data Analyst","shell","39","112340"
"Data Analyst","sas","408","92498"
"Data Analyst","go","243","95687"
"Data Analyst","javascript","123","90951"
"Data Analyst","html","42","84722"
"Data Analyst","css","25","91299"
"Data Analyst","bash","11","111097"
"Data Analyst","c++","53","107776"
"Data Analyst","c#","58","98360"
"Data Analyst","matlab","78","100484"
"Data Analyst","t-sql","49","94614"
"Data Analyst","typescript","5","89323"
"Data Analyst","mongodb","23","119815"
"Data Analyst","powershell","27","105008"
"Data Analyst","visual basic","35","88941"
"Data Analyst","vba","157","94449"
"Data Analyst","crystal","69","85600"
"Data Analyst","mongo","8","101780"
"Data Analyst","php","28","109553"
"Data Analyst","c","74","98682"
"Data Analyst","golang","1","165000"
"Data Analyst","no-sql","5","106651"
"Data Analyst","julia","5","74693"
"Data Analyst","ruby","4","90551"
"Data Analyst","perl","17","127036"
"Data Analyst","assembly","19","81542"
"Data Analyst","swift","3","76000"
"Data Analyst","dart","3","72674"
"Data Analyst","solidity","1","179000"
"Data Analyst","rust","3","111400"
"Data Analyst","vb.net","4","64500"
"Data Analyst","fortran","1","115000"
"Data Analyst","cobol","3","91326"
"Data Analyst","sass","1","67897"
"Data Analyst","redis","3","99892"
"Data Analyst","mysql","56","102536"
"Data Analyst","postgresql","35","105666"
"Data Analyst","neo4j","12","108646"
"Data Analyst","elasticsearch","9","101013"
"Data Analyst","mariadb","2","96500"
"Data Analyst","sql server","273","97121"
"Data Analyst","mongodb","23","119815"
"Data Analyst","cassandra","9","121108"
"Data Analyst","dynamodb","5","111840"
"Data Analyst","firebase","1","87500"
"Data Analyst","db2","32","108271"
"Data Analyst","sqlite","1","139000"
"Data Analyst","vmware","1","147500"
"Data Analyst","azure","269","104879"
"Data Analyst","databricks","88","110473"
"Data Analyst","aws","242","106936"
"Data Analyst","bigquery","70","104828"
"Data Analyst","redshift","67","110918"
"Data Analyst","oracle","271","100495"
"Data Analyst","snowflake","189","112746"
"Data Analyst","gcp","73","111301"
"Data Analyst","firebase","1","87500"
"Data Analyst","aurora","5","113394"
"Data Analyst","ibm cloud","5","98400"
"Data Analyst","watson","4","95000"
"Data Analyst","spark","156","114405"
"Data Analyst","pandas","75","106784"
"Data Analyst","numpy","46","105346"
"Data Analyst","pyspark","43","110617"
"Data Analyst","airflow","59","118832"
"Data Analyst","hadoop","111","111229"
"Data Analyst","kafka","38","130828"
"Data Analyst","tensorflow","20","118183"
"Data Analyst","keras","3","127013"
"Data Analyst","pytorch","15","126844"
"Data Analyst","jupyter","30","100488"
"Data Analyst","spring","20","98999"
"Data Analyst","gdpr","30","108090"
"Data Analyst","scikit-learn","24","102111"
"Data Analyst","tidyverse","6","76117"
"Data Analyst","matplotlib","22","103265"
"Data Analyst","mxnet","2","149000"
"Data Analyst","react","13","84787"
"Data Analyst","plotly","21","111908"
"Data Analyst","ggplot2","7","102904"
"Data Analyst","graphql","3","57009"
"Data Analyst","theano","1","100000"
"Data Analyst","dplyr","3","147633"
"Data Analyst","seaborn","8","113434"
"Data Analyst","hugging face","2","123950"
"Data Analyst","opencv","1","67818"
"Data Analyst","electron","2","111175"
"Data Analyst","selenium","1","82500"
"Data Analyst","cordova","1","113270"
"Data Analyst","chainer","1","100000"
"Data Analyst","angular","12","102103"
"Data Analyst","phoenix","17","110026"
"Data Analyst","vue","1","65000"
"Data Analyst","django","6","98544"
"Data Analyst","express","90","110436"
"Data Analyst","flask","6","98759"
"Data Analyst","ruby","4","90551"
"Data Analyst","node.js","3","119141"
"Data Analyst","jquery","5","95772"
"Data Analyst","asp.net","3","101667"
"Data Analyst","drupal","5","88328"
"Data Analyst","node","4","97900"
"Data Analyst","unix","33","112750"
"Data Analyst","linux","50","115434"
"Data Analyst","windows","67","87556"
"Data Analyst","macos","4","57933"
"Data Analyst","arch","1","95005"
"Data Analyst","excel","1770","86463"
"Data Analyst","tableau","1335","98446"
"Data Analyst","power bi","868","91940"
"Data Analyst","dax","60","97875"
"Data Analyst","looker","201","105154"
"Data Analyst","sas","408","92498"
"Data Analyst","qlik","81","101596"
"Data Analyst","word","455","83270"
"Data Analyst","sap","164","92739"
"Data Analyst","spreadsheet","89","78553"
"Data Analyst","microstrategy","30","97140"
"Data Analyst","sheets","118","84065"
"Data Analyst","splunk","15","112928"
"Data Analyst","ssis","80","98027"
"Data Analyst","sharepoint","143","90069"
"Data Analyst","powerpoint","437","88733"
"Data Analyst","ssrs","104","91008"
"Data Analyst","outlook","159","80861"
"Data Analyst","spss","170","84130"
"Data Analyst","cognos","59","89664"
"Data Analyst","alteryx","102","107612"
"Data Analyst","ms access","56","85395"
"Data Analyst","visio","85","102519"
"Data Analyst","git","65","111551"
"Data Analyst","jenkins","18","97416"
"Data Analyst","terraform","3","146734"
"Data Analyst","kubernetes","24","100638"
"Data Analyst","docker","25","94345"
"Data Analyst","flow","228","98640"
"Data Analyst","github","48","105409"
"Data Analyst","yarn","1","99150"
"Data Analyst","bitbucket","4","80490"
"Data Analyst","atlassian","10","111368"
"Data Analyst","gitlab","4","118846"
"Data Analyst","chef","3","82100"
"Data Analyst","puppet","2","129820"
"Data Analyst","ansible","2","124370"
"Data Analyst","svn","1","400000"
"Data Analyst","unity","4","100646"
"Data Analyst","terminal","39","80484"
"Data Analyst","unreal","4","89113"
"Data Analyst","npm","4","73419"
"Data Analyst","airtable","5","90008"
"Data Analyst","jira","111","109442"
"Data Analyst","confluence","45","114289"
"Data Analyst","planner","9","76241"
"Data Analyst","smartsheet","17","74313"
"Data Analyst","asana","8","91361"
"Data Analyst","notion","5","116710"
"Data Analyst","trello","7","65193"
"Data Analyst","wrike","1","75000"
"Data Analyst","monday.com","3","65833"
"Data Analyst","workfront","1","65000"
"Data Analyst","slack","11","85285"
"Data Analyst","zoom","14","91914"
"Data Analyst","microsoft teams","11","84740"
"Data Analyst","twilio","1","150000"
"Data Analyst","unify","9","112317"
"Data Analyst","wire","3","77000"
"Data Analyst","symphony","3","86267"
"Data Analyst","webex","1","115000"
"Data Scientist","sql","2442","137800"
"Data Scientist","python","3352","137030"
"Data Scientist","nosql","197","130881"
"Data Scientist","scala","295","142176"
"Data Scientist","java","454","128835"
"Data Scientist","r","1966","135027"
"Data Scientist","shell","46","136298"
"Data Scientist","sas","474","121685"
"Data Scientist","go","233","144653"
"Data Scientist","javascript","159","118796"
"Data Scientist","html","52","114788"
"Data Scientist","css","28","106300"
"Data Scientist","bash","37","118620"
"Data Scientist","c++","237","133397"
"Data Scientist","c#","89","121714"
"Data Scientist","matlab","232","126860"
"Data Scientist","t-sql","22","123981"
"Data Scientist","typescript","9","123829"
"Data Scientist","mongodb","69","125407"
"Data Scientist","kotlin","8","147925"
"Data Scientist","powershell","7","120057"
"Data Scientist","visual basic","11","121709"
"Data Scientist","vba","46","118668"
"Data Scientist","crystal","19","110900"
"Data Scientist","mongo","4","104398"
"Data Scientist","php","25","136417"
"Data Scientist","c","200","137686"
"Data Scientist","golang","12","133313"
"Data Scientist","no-sql","5","141066"
"Data Scientist","julia","60","130748"
"Data Scientist","ruby","29","140775"
"Data Scientist","perl","49","135992"
"Data Scientist","assembly","9","132273"
"Data Scientist","groovy","2","102481"
"Data Scientist","objective-c","1","164500"
"Data Scientist","swift","8","125606"
"Data Scientist","apl","2","90000"
"Data Scientist","dart","4","134834"
"Data Scientist","solidity","4","167475"
"Data Scientist","rust","14","120852"
"Data Scientist","clojure","2","153898"
"Data Scientist","elixir","1","189971"
"Data Scientist","vb.net","2","70981"
"Data Scientist","haskell","1","157500"
"Data Scientist","fortran","3","116000"
"Data Scientist","lisp","1","137295"
"Data Scientist","lua","1","170500"
"Data Scientist","erlang","4","133000"
"Data Scientist","redis","13","140547"
"Data Scientist","mysql","111","125699"
"Data Scientist","postgresql","73","125120"
"Data Scientist","neo4j","24","166896"
"Data Scientist","elasticsearch","59","122127"
"Data Scientist","mariadb","6","129308"
"Data Scientist","sql server","113","112939"
"Data Scientist","mongodb","69","125407"
"Data Scientist","cassandra","33","128339"
"Data Scientist","dynamodb","9","157551"
"Data Scientist","couchbase","2","127135"
"Data Scientist","firebase","1","109500"
"Data Scientist","db2","16","136331"
"Data Scientist","sqlite","7","117228"
"Data Scientist","vmware","3","124763"
"Data Scientist","azure","468","131152"
"Data Scientist","databricks","244","133934"
"Data Scientist","aws","752","136017"
"Data Scientist","bigquery","97","146879"
"Data Scientist","redshift","78","132412"
"Data Scientist","oracle","171","117550"
"Data Scientist","snowflake","227","140577"
"Data Scientist","gcp","177","137553"
"Data Scientist","firebase","1","109500"
"Data Scientist","aurora","22","124058"
"Data Scientist","ibm cloud","17","113114"
"Data Scientist","watson","7","196000"
"Data Scientist","openstack","4","146697"
"Data Scientist","spark","746","143445"
"Data Scientist","pandas","354","137195"
"Data Scientist","numpy","258","133593"
"Data Scientist","pyspark","162","135198"
"Data Scientist","airflow","120","156300"
"Data Scientist","hadoop","491","134894"
"Data Scientist","kafka","111","142101"
"Data Scientist","tensorflow","483","141164"
"Data Scientist","keras","194","132541"
"Data Scientist","pytorch","419","143839"
"Data Scientist","jupyter","122","136197"
"Data Scientist","nltk","46","129311"
"Data Scientist","spring","52","108665"
"Data Scientist","gdpr","17","125391"
"Data Scientist","scikit-learn","302","140625"
"Data Scientist","tidyverse","37","133471"
"Data Scientist","matplotlib","190","126720"
"Data Scientist","mxnet","15","147989"
"Data Scientist","react","27","130850"
"Data Scientist","rshiny","14","172637"
"Data Scientist","plotly","80","126846"
"Data Scientist","flutter","1","100000"
"Data Scientist","ggplot2","68","129951"
"Data Scientist","graphql","4","129000"
"Data Scientist","theano","21","154064"
"Data Scientist","dplyr","15","163652"
"Data Scientist","seaborn","75","134883"
"Data Scientist","hugging face","6","129917"
"Data Scientist","opencv","33","128239"
"Data Scientist","electron","4","113439"
"Data Scientist","selenium","2","122814"
"Data Scientist","cordova","6","122016"
"Data Scientist","qt","1","110000"
"Data Scientist","angular","14","98290"
"Data Scientist","phoenix","41","127218"
"Data Scientist","vue","3","115000"
"Data Scientist","django","19","121253"
"Data Scientist","vue.js","1","77500"
"Data Scientist","express","78","151111"
"Data Scientist","flask","26","117260"
"Data Scientist","fastapi","13","130785"
"Data Scientist","ruby","29","140775"
"Data Scientist","node.js","7","119120"
"Data Scientist","react.js","2","123750"
"Data Scientist","jquery","17","103738"
"Data Scientist","asp.net","7","112922"
"Data Scientist","svelte","1","99150"
"Data Scientist","ruby on rails","4","191625"
"Data Scientist","node","6","124200"
"Data Scientist","laravel","1","115000"
"Data Scientist","unix","49","118960"
"Data Scientist","linux","135","130384"
"Data Scientist","windows","83","123789"
"Data Scientist","ubuntu","3","107417"
"Data Scientist","centos","7","137324"
"Data Scientist","redhat","1","189500"
"Data Scientist","macos","3","137167"
"Data Scientist","arch","4","137376"
"Data Scientist","excel","518","124826"
"Data Scientist","tableau","1018","128186"
"Data Scientist","power bi","400","116152"
"Data Scientist","dax","13","137235"
"Data Scientist","looker","125","143073"
"Data Scientist","sas","474","121685"
"Data Scientist","qlik","76","121939"
"Data Scientist","word","168","121591"
"Data Scientist","sap","65","122825"
"Data Scientist","spreadsheet","34","120011"
"Data Scientist","microstrategy","25","136670"
"Data Scientist","sheets","16","127308"
"Data Scientist","splunk","48","125776"
"Data Scientist","ssis","32","100083"
"Data Scientist","sharepoint","51","111456"
"Data Scientist","powerpoint","163","122857"
"Data Scientist","ssrs","17","110559"
"Data Scientist","outlook","35","120648"
"Data Scientist","spss","125","115714"
"Data Scientist","cognos","15","95923"
"Data Scientist","alteryx","70","121319"
"Data Scientist","ms access","7","137268"
"Data Scientist","visio","9","120998"
"Data Scientist","datarobot","12","119365"
"Data Scientist","git","306","121676"
"Data Scientist","jenkins","52","120114"
"Data Scientist","terraform","20","132036"
"Data Scientist","kubernetes","113","134007"
"Data Scientist","docker","184","128121"
"Data Scientist","flow","123","137113"
"Data Scientist","github","146","122090"
"Data Scientist","yarn","5","122738"
"Data Scientist","bitbucket","28","136410"
"Data Scientist","atlassian","16","136771"
"Data Scientist","gitlab","26","125192"
"Data Scientist","chef","9","100308"
"Data Scientist","puppet","3","135893"
"Data Scientist","ansible","5","101507"
"Data Scientist","svn","8","124875"
"Data Scientist","unity","4","174500"
"Data Scientist","terminal","24","131854"
"Data Scientist","unreal","6","153278"
"Data Scientist","npm","1","147500"
"Data Scientist","codecommit","2","191900"
"Data Scientist","airtable","7","201143"
"Data Scientist","jira","99","129709"
"Data Scientist","confluence","41","122369"
"Data Scientist","planner","3","70967"
"Data Scientist","smartsheet","1","115000"
"Data Scientist","asana","8","215477"
"Data Scientist","notion","10","168200"
"Data Scientist","trello","4","107624"
"Data Scientist","monday.com","1","79019"
"Data Scientist","slack","10","183972"
"Data Scientist","zoom","11","153831"
"Data Scientist","microsoft teams","1","108800"
"Data Scientist","unify","10","130687"
"Data Scientist","symphony","3","113333"
